,company website,contact,,,,,website,mail done ,position,reply,
Dean Infotech™,https://www.deaninfotech.com/,https://www.deaninfotech.com/career/,,,,pune,https://www.deaninfotech.com/,,,,
iProgrammer Solutions Private Ltd.,https://iprogrammer.com/,https://iprogrammer.com/careers/,,,,pune,https://iprogrammer.com/,,,,
Vibeosys Software Pvt Ltd.,https://vibeosys.com/,Contact form or info@vibeosys.com,,,,pune,https://vibeosys.com/,,,,
Makreo Research & Consulting,https://www.makreo.com/,Contact form or info@makreo.com,,,,pune,https://www.makreo.com/,,,,
SimpliSage Technologies Pvt Ltd.,https://simplisage.com/,Contact form or info@simplisage.com,,,,pune,https://simplisage.com/,,,,
Promact,https://promactinfo.com/,"Look for ""Careers"" or Contact form",,,,pune,https://promactinfo.com/,,,,
Chamberlain Group (Pune Innovation Center),https://www.chamberlaingroup.com/,"Look for ""Careers"" or Jobs page",,,,pune,https://www.chamberlaingroup.com/,,,,
Sungard Availability Services, India,https://www.sungardas.com/,Look for careers on main site,,,pune, India,,,,
Isobar World Services (part of Dentsu International),https://www.isobar.com/,Look for careers on Dentsu International site,,,,pune,https://www.isobar.com/,,,,
Amdocs Data & Intelligence (part of Amdocs),https://www.amdocs.com/,https://www.amdocs.com/careers,,,,pune,https://www.amdocs.com/,,,,
Tailored Tech Llp,No clear dedicated software development website found,General contact if available,,,,pune,No clear dedicated software development website found,,,,
Akon Infotech,No clear dedicated software development website found,General contact if available,,,,pune,No clear dedicated software development website found,,,,
Mithi,https://www.mithi.com/,https://www.mithi.com/careers,,,,pune,https://www.mithi.com/,,,,
3DPLM Software Solutions Limited,https://www.3dplm.com/,https://www.3dplm.com/careers,,,,pune,https://www.3dplm.com/,,,,
Softenger,https://www.softenger.com/,Contact form or info@softenger.com,,,,pune,https://www.softenger.com/,,,,
Sopra Steria (formerly Steria),https://www.soprasteria.com/india,https://www.soprasteria.com/india/careers,,,,pune,https://www.soprasteria.com/india,,,,
R Systems International,https://www.rsystems.com/,https://www.rsystems.com/careers/,,,,pune,https://www.rsystems.com/,,,,
Red Hat,https://www.redhat.com/en/global/india,https://careers.redhat.com/,,,,pune,https://www.redhat.com/en/global/india,,,,
Reverie Language Technologies,https://reverieinc.com/,Contact form,,,,pune,https://reverieinc.com/,,,,
Rikun IT Services,https://rikunitservices.com/,Contact form or info@rikunitservices.com,,,,pune,https://rikunitservices.com/,,,,
Rockwell Automation,https://www.rockwellautomation.com/en-in.html,https://www.rockwellautomation.com/en-in/company/careers.html,,,,pune,https://www.rockwellautomation.com/en-in.html,,,,
Sage Software Solutions,https://www.sagesoftware.co.in/,https://www.sagesoftware.co.in/company/careers/,,,,pune,https://www.sagesoftware.co.in/,,,,
SAS Institute,https://www.sas.com/en_in/home.html,https://www.sas.com/en_us/careers.html,,,,pune,https://www.sas.com/en_in/home.html,,,,
Sasken Technologies,https://www.sasken.com/,https://www.sasken.com/careers,,,,pune,https://www.sasken.com/,,,,
TrellisSoft,https://www.trellissoft.com/,Contact form,,,,pune,https://www.trellissoft.com/,,,,
Verve Logic,https://vervelogic.com/,https://vervelogic.com/career/,,,,pune,https://vervelogic.com/,,,,
Webenza,https://webenza.com/,Contact form,,,,pune,https://webenza.com/,,,,
Xoriant,https://www.xoriant.com/,https://www.xoriant.com/careers,,,,pune,https://www.xoriant.com/,,,,
Zentree Labs,https://zentreelabs.com/,Contact form,,,,pune,https://zentreelabs.com/,,,,
Annalect (part of Omnicom Media Group),https://www.annalect.com/,https://www.annalect.com/careers,,,,pune,https://www.annalect.com/,,,,
Artech Infosystems,https://www.artechinfo.com/,https://www.artechinfo.com/careers,,,,pune,https://www.artechinfo.com/,,,,
BOSC Tech,https://bosc.in/,Contact form or info@bosc.in,,,,pune,https://bosc.in/,,,,
CGI (Pune office),https://www.cgi.com/india/en-in,https://www.cgi.com/india/en-in/careers,,,,pune,https://www.cgi.com/india/en-in,,,,
Collabera,https://www.collabera.com/,https://www.collabera.com/career/,,,,pune,https://www.collabera.com/,,,,
Data Bridge Market Research,https://www.databridgemarketresearch.com/,Contact form or info@databridgemarketresearch.com,,,,pune,https://www.databridgemarketresearch.com/,,,,
DigiLantern,https://digilantern.com/,Contact form or info@digilantern.com,,,,pune,https://digilantern.com/,,,,
Emtec Digital,https://www.emtec.digital/,https://www.emtec.digital/careers,,,,pune,https://www.emtec.digital/,,,,
EXL Service,https://www.exlservice.com/,https://www.exlservice.com/careers,,,,pune,https://www.exlservice.com/,,,,
Extron,https://www.extron.com/,https://www.extron.com/company/careers,,,,pune,https://www.extron.com/,,,,
Fiserv,https://www.fiserv.com/,https://careers.fiserv.com/,,,,pune,https://www.fiserv.com/,,,,
Globant,https://www.globant.com/,https://www.globant.com/careers,,,,pune,https://www.globant.com/,,,,
Great Learning,https://www.greatlearning.in/,https://www.greatlearning.in/careers,,,,pune,https://www.greatlearning.in/,,,,
HighRadius,https://www.highradius.com/,https://www.highradius.com/careers,,,,pune,https://www.highradius.com/,,,,
Icertis,https://www.icertis.com/,https://www.icertis.com/careers,,,,pune,https://www.icertis.com/,,,,
Incture Technologies,https://incture.com/,https://incture.com/careers/,,,,pune,https://incture.com/,,,,
Infosys BPM,https://www.infosysbpm.com/,https://www.infosysbpm.com/careers.html,,,,pune,https://www.infosysbpm.com/,,,,
Infor,https://www.infor.com/,https://www.infor.com/about/careers,,,,pune,https://www.infor.com/,,,,
Intellect Design Arena,https://www.intellectdesign.com/,https://www.intellectdesign.com/careers/,,,,pune,https://www.intellectdesign.com/,,,,
Interactive Brokers,https://www.interactivebrokers.com/en/index.php,https://www.interactivebrokers.com/en/index.php?f=1454&p=careers,,,,pune,https://www.interactivebrokers.com/en/index.php,,,,
Internet Marketing Company (IMC),https://www.internetmarketingco.com/,Contact form,,,,pune,https://www.internetmarketingco.com/,,,,
iSource IT,https://isourceit.com/,Contact form,,,,pune,https://isourceit.com/,,,,
Jade Global,https://www.jadeglobal.com/,https://www.jadeglobal.com/careers/,,,,pune,https://www.jadeglobal.com/,,,,
Jazz by HMD Global,https://www.hmdglobal.com/,Look for careers section on HMD Global site,,,,pune,https://www.hmdglobal.com/,,,,
Kaar Technologies,https://www.kaartech.com/,https://www.kaartech.com/careers/,,,,pune,https://www.kaartech.com/,,,,
KPMG Global Services (IT/Advisory),https://kpmg.com/in/en/home.html,https://kpmg.com/in/en/home/careers.html,,,,pune,https://kpmg.com/in/en/home.html,,,,
Lam Research,https://www.lamresearch.com/,https://www.lamresearch.com/careers,,,,pune,https://www.lamresearch.com/,,,,
Mastek,https://www.mastek.com/,https://www.mastek.com/careers/,,,,pune,https://www.mastek.com/,,,,
Maven Wave Partners (part of Atos),https://www.mavenwave.com/,Check Atos careers,,,,pune,https://www.mavenwave.com/,,,,
Meritech,https://www.meritech.in/,Contact form or info@meritech.in,,,,pune,https://www.meritech.in/,,,,
Miracle Software Systems,https://www.miraclesoft.com/,https://www.miraclesoft.com/careers,,,,pune,https://www.miraclesoft.com/,,,,
Mondelez International (IT GSC),https://www.mondelezinternational.com/,Look for careers on their global site,,,,pune,https://www.mondelezinternational.com/,,,,
NetCracker Technology,https://www.netcracker.com/,https://www.netcracker.com/careers/,,,,pune,https://www.netcracker.com/,,,,
Netwin Infosolutions,https://www.netwinindia.com/,Contact form or info@netwinindia.com,,,,pune,https://www.netwinindia.com/,,,,
Nihilent Technologies,https://www.nihilent.com/,https://www.nihilent.com/careers/,,,,pune,https://www.nihilent.com/,,,,
Nityo Infotech,https://nityo.com/,https://nityo.com/careers/,,,,pune,https://nityo.com/,,,,
Oceaneering International,https://www.oceaneering.com/,https://www.oceaneering.com/careers,,,,pune,https://www.oceaneering.com/,,,,
OFSS (Oracle Financial Services Software),https://www.oracle.com/industries/financial-services/oracle-fss/index.html,Look for careers on Oracle's site or OFSS direct,,,,pune,https://www.oracle.com/industries/financial-services/oracle-fss/index.html,,,,
Perficient,https://www.perficient.com/,https://www.perficient.com/careers/,,,,pune,https://www.perficient.com/,,,,
PwC India (IT/Consulting),https://www.pwc.in/,https://www.pwc.in/careers.html,,,,pune,https://www.pwc.in/,,,,
Quantiphi,https://quantiphi.com/,https://quantiphi.com/careers/,,,,pune,https://quantiphi.com/,,,,
QuEST Global,https://www.quest-global.com/,https://www.quest-global.com/careers/,,,,pune,https://www.quest-global.com/,,,,
Softcell Technologies Global Pvt. Ltd.,https://www.softcell.com/,https://www.softcell.com/careers/,,,,pune,https://www.softcell.com/,,,,
Veritas Technologies,https://www.veritas.com/,https://www.veritas.com/careers,,,,pune,https://www.veritas.com/,,,,
Commvault,https://www.commvault.com/,https://www.commvault.com/careers,,,,pune,https://www.commvault.com/,,,,
ServiceNow,https://www.servicenow.com/,https://careers.servicenow.com/,,,,pune,https://www.servicenow.com/,,,,
Google India (Pune office focuses on specific areas),https://about.google/locations/pune/,https://careers.google.com/,,,,pune,https://about.google/locations/pune/,,,,
Amazon India (Pune office for certain operations),https://www.amazon.in/,https://www.amazon.jobs/,,,,pune,https://www.amazon.in/,,,,
Simplilearn,https://www.simplilearn.com/,https://www.simplilearn.com/careers,,,,pune,https://www.simplilearn.com/,,,,
Byju's (Tech team presence),https://byjus.com/,https://byjus.com/careers/,,,,pune,https://byjus.com/,,,,
TATA Motors (IT/Digital division),https://www.tatamotors.com/,"Look for ""Careers"" on their main site",,,,pune,https://www.tatamotors.com/,,,,
Bajaj Finserv (IT/Digital team),https://www.bajajfinserv.in/,"Look for ""Careers"" on their main site",,,,pune,https://www.bajajfinserv.in/,,,,
Nagarro,https://www.nagarro.com/,https://www.nagarro.com/en/careers,,,,pune,https://www.nagarro.com/,,,,
Nelito Systems,https://www.nelito.com/,https://www.nelito.com/careers,,,,pune,https://www.nelito.com/,,,,
Nucleus Software,https://www.nucleussoftware.com/,https://www.nucleussoftware.com/careers,,,,pune,https://www.nucleussoftware.com/,,,,
Rolta India,https://www.rolta.com/,https://www.rolta.com/careers/,,,,pune,https://www.rolta.com/,,,,
Symphony Technology Group (STG),https://www.symphonytech.com/,Check individual portfolio companies for careers,,,,pune,https://www.symphonytech.com/,,,,
Tekizma Inc.,https://www.tekizma.com/,Contact form,,,,pune,https://www.tekizma.com/,,,,
Yash Technologies,https://www.yash.com/,https://www.yash.com/careers,,,,pune,https://www.yash.com/,,,,
Softura (formerly Softura Inc.),https://softura.com/,https://softura.com/careers,,,,pune,https://softura.com/,,,,
Aithent Inc.,https://www.aithent.com/,https://www.aithent.com/careers,,,,pune,https://www.aithent.com/,,,,
Allscripts (now part of Veradigm),https://veradigm.com/,https://veradigm.com/careers/,,,,pune,https://veradigm.com/,,,,
Altair Engineering,https://www.altair.com/,https://www.altair.com/careers,,,,pune,https://www.altair.com/,,,,
Amiseq Inc.,https://www.amiseq.com/,Contact form,,,,pune,https://www.amiseq.com/,,,,
Analog Devices,https://www.analog.com/,https://www.analog.com/en/about-adi/careers.html,,,,pune,https://www.analog.com/,,,,
ArisGlobal,https://www.arisglobal.com/,https://www.arisglobal.com/careers/,,,,pune,https://www.arisglobal.com/,,,,
Aspire Systems,https://www.aspiresys.com/,https://www.aspiresys.com/careers/,,,,pune,https://www.aspiresys.com/,,,,
Athenahealth,https://www.athenahealth.com/,https://www.athenahealth.com/careers,,,,pune,https://www.athenahealth.com/,,,,
Barco (R&D center),https://www.barco.com/en/about-barco/careers,https://www.barco.com/en/about-barco/careers,,,,pune,https://www.barco.com/en/about-barco/careers,,,,
Bsquare Corporation,https://www.bsquare.com/,https://www.bsquare.com/careers,,,,pune,https://www.bsquare.com/,,,,
Cadence Design Systems,https://www.cadence.com/,https://www.cadence.com/en_US/home/company/careers.html,,,,pune,https://www.cadence.com/,,,,
Cambium Networks,https://www.cambiumnetworks.com/,https://www.cambiumnetworks.com/careers,,,,pune,https://www.cambiumnetworks.com/,,,,
CDK Global,https://www.cdkglobal.com/en-in,https://www.cdkglobal.com/careers/,,,,pune,https://www.cdkglobal.com/en-in,,,,
Cigniti Technologies,https://www.cigniti.com/,https://www.cigniti.com/careers/,,,,pune,https://www.cigniti.com/,,,,
CSS Corp (now Teleperformance D.I.B.S.),https://www.teleperformance.com/en-us/digital-integrated-business-services/,Look for careers on Teleperformance site,,,,pune,https://www.teleperformance.com/en-us/digital-integrated-business-services/,,,,
Digital River,https://www.digitalriver.com/,https://www.digitalriver.com/careers/,,,,pune,https://www.digitalriver.com/,,,,
eClinicalWorks,https://www.eclinicalworks.com/,https://www.eclinicalworks.com/company/careers/,,,,pune,https://www.eclinicalworks.com/,,,,
Epam Systems,https://www.epam.com/,https://www.epam.com/careers,,,,pune,https://www.epam.com/,,,,
Experian,https://www.experian.in/,https://jobs.experian.com/,,,,pune,https://www.experian.in/,,,,
F5 Networks,https://www.f5.com/,https://www.f5.com/company/careers,,,,pune,https://www.f5.com/,,,,
Fidel Technologies,https://www.fideltech.com/,Contact form or info@fideltech.com,,,,pune,https://www.fideltech.com/,,,,
Globant (re-add for robustness),https://www.globant.com/,https://www.globant.com/careers,,,,pune,https://www.globant.com/,,,,
Global Healthcare Exchange (GHX),https://www.ghx.com/,https://www.ghx.com/careers/,,,,pune,https://www.ghx.com/,,,,
Hexaware Technologies (re-add for robustness),https://hexaware.com/,https://hexaware.com/careers/,,,,pune,https://hexaware.com/,,,,
Hitech IT Services,No clear dedicated software development website found,General contact if available,,,,pune,No clear dedicated software development website found,,,,
IDBI Intech Ltd (subsidiary of IDBI Bank),https://www.idbiintech.com/,Look for careers section on their site,,,,pune,https://www.idbiintech.com/,,,,
Infor (re-add for robustness),https://www.infor.com/,https://www.infor.com/about/careers,,,,pune,https://www.infor.com/,,,,
Innovapptive Inc.,https://www.innovapptive.com/,https://www.innovapptive.com/careers,,,,pune,https://www.innovapptive.com/,,,,
Inntot Technologies,https://www.inntot.com/,https://www.inntot.com/careers,,,,pune,https://www.inntot.com/,,,,
Iron Mountain,https://www.ironmountain.com/en-in,https://www.ironmountain.com/about-us/careers,,,,pune,https://www.ironmountain.com/en-in,,,,
iSource IT (re-add for robustness),https://isourceit.com/,Contact form,,,,pune,https://isourceit.com/,,,,
JK Technosoft,https://jktech.com/,https://jktech.com/career/,,,,pune,https://jktech.com/,,,,
L&T Infotech (now LTIMindtree),https://www.ltimindtree.com/,https://www.ltimindtree.com/careers/,,,,pune,https://www.ltimindtree.com/,,,,
LearningMate Solutions,https://www.learningmate.com/,https://www.learningmate.com/careers/,,,,pune,https://www.learningmate.com/,,,,
Lido Learning (EdTech, may have tech roles),https://www.lidolearning.com/,https://www.lidolearning.com/careers/,,,pune, may have tech roles),,,,
Maersk Global Service Centres (IT roles),https://www.maersk.com/careers,https://www.maersk.com/careers,,,,pune,https://www.maersk.com/careers,,,,
Mihir Systems (re-add for robustness),https://mihir.com/,Contact form or info@mihir.com,,,,pune,https://mihir.com/,,,,
Nagarro (re-add for robustness),https://www.nagarro.com/,https://www.nagarro.com/en/careers,,,,pune,https://www.nagarro.com/,,,,
Nelito Systems (re-add for robustness),https://www.nelito.com/,https://www.nelito.com/careers,,,,pune,https://www.nelito.com/,,,,
Netwin Infosolutions (re-add for robustness),https://www.netwinindia.com/,Contact form or info@netwinindia.com,,,,pune,https://www.netwinindia.com/,,,,
Nihilent Technologies (re-add for robustness),https://www.nihilent.com/,https://www.nihilent.com/careers/,,,,pune,https://www.nihilent.com/,,,,
Nucleus Software (re-add for robustness),https://www.nucleussoftware.com/,https://www.nucleussoftware.com/careers,,,,pune,https://www.nucleussoftware.com/,,,,
Palo Alto Networks,https://www.paloaltonetworks.com/,https://jobs.paloaltonetworks.com/,,,,pune,https://www.paloaltonetworks.com/,,,,
Persistent Systems (re-add for robustness),https://www.persistent.com/,https://www.persistent.com/careers/,,,,pune,https://www.persistent.com/,,,,
Polaris Consulting & Services (now Virtusa),https://www.virtusa.com/,https://www.virtusa.com/careers/,,,,pune,https://www.virtusa.com/,,,,
PTC Inc.,https://www.ptc.com/,https://www.ptc.com/en/careers,,,,pune,https://www.ptc.com/,,,,
Qlik,https://www.qlik.com/,https://www.qlik.com/us/company/careers,,,,pune,https://www.qlik.com/,,,,
QuEST Global (re-add for robustness),https://www.quest-global.com/,https://www.quest-global.com/careers/,,,,pune,https://www.quest-global.com/,,,,
RapidValue Solutions,https://www.rapidvaluesolutions.com/,https://www.rapidvaluesolutions.com/careers/,,,,pune,https://www.rapidvaluesolutions.com/,,,,
RutuSoft (re-add for robustness),https://rutusoft.com/,Contact form or info@rutusoft.com,,,,pune,https://rutusoft.com/,,,,
Suma Soft Pvt. Ltd. (re-add for robustness),https://www.sumasoft.com/,https://www.sumasoft.com/careers/,,,,pune,https://www.sumasoft.com/,,,,
Talentica Software (re-add for robustness),https://www.talentica.com/,https://www.talentica.com/careers/,,,,pune,https://www.talentica.com/,,,,
Torry Harris Business Solutions (re-add for robustness),https://www.thbs.com/,https://www.thbs.com/careers,,,,pune,https://www.thbs.com/,,,,
Trigyn Technologies (re-add for robustness),https://www.trigyn.com/,https://www.trigyn.com/careers/,,,,pune,https://www.trigyn.com/,,,,
ValueLabs (re-add for robustness),https://www.valuelabs.com/,https://www.valuelabs.com/careers/,,,,pune,https://www.valuelabs.com/,,,,
Vistara (Airline, likely has IT roles in Pune),https://www.airvistara.com/,https://www.airvistara.com/in/en/careers,,,pune, likely has IT roles in Pune),,,,
Web Werks,https://www.webwerks.in/,https://www.webwerks.in/careers/,,,,pune,https://www.webwerks.in/,,,,
Xoriant (re-add for robustness),https://www.xoriant.com/,https://www.xoriant.com/careers,,,,pune,https://www.xoriant.com/,,,,
Yash Technologies (re-add for robustness),https://www.yash.com/,https://www.yash.com/careers,,,,pune,https://www.yash.com/,,,,
Zenith Infotech (re-add for robustness),http://www.zenithinfotech.com/,Contact form or info@zenithinfotech.com,,,,pune,http://www.zenithinfotech.com/,,,,
Zentree Labs (re-add for robustness),https://zentreelabs.com/,Contact form,,,,pune,https://zentreelabs.com/,,,,
Zensar Technologies (re-add for robustness),https://www.zensar.com/,https://www.zensar.com/careers,,,,pune,https://www.zensar.com/,,,,
Coforge (re-add for robustness),https://www.coforge.com/,https://www.coforge.com/careers,,,,pune,https://www.coforge.com/,,,,
Mphasis (re-add for robustness),https://www.mphasis.com/,https://www.mphasis.com/careers.html,,,,pune,https://www.mphasis.com/,,,,
Quinnox (re-add for robustness),https://www.quinnox.com/,https://www.quinnox.com/careers,,,,pune,https://www.quinnox.com/,,,,
Sonata Software (re-add for robustness),https://www.sonata-software.com/,https://www.sonata-software.com/careers/,,,,pune,https://www.sonata-software.com/,,,,
Subex (re-add for robustness),https://subex.com/,https://subex.com/careers/,,,,pune,https://subex.com/,,,,
Integra Micro Systems (re-add for robustness),https://www.integramicro.com/,https://www.integramicro.com/careers/,,,,pune,https://www.integramicro.com/,,,,
WNS Global Services (re-add for robustness),https://www.wns.com/,https://www.wns.com/careers,,,,pune,https://www.wns.com/,,,,
L&T Technology Services (re-add for robustness),https://www.ltts.com/,https://www.ltts.com/careers,,,,pune,https://www.ltts.com/,,,,
TATA Technologies (re-add for robustness),https://www.tatatechnologies.com/,https://www.tatatechnologies.com/careers/,,,,pune,https://www.tatatechnologies.com/,,,,
Accenture (re-add for robustness),https://www.accenture.com/in-en,https://www.accenture.com/in-en/careers,,,,pune,https://www.accenture.com/in-en,,,,
Barclays (Pune Technology Center) (re-add for robustness),https://home.barclays/,"Search ""Barclays Pune careers"" on their site",,,,pune,https://home.barclays/,,,,
Capgemini India Pvt Ltd. (re-add for robustness),https://www.capgemini.com/in-en/,https://www.capgemini.com/careers/,,,,pune,https://www.capgemini.com/in-en/,,,,
Cisco Systems (re-add for robustness),https://www.cisco.com/c/en_in/index.html,https://jobs.cisco.com/,,,,pune,https://www.cisco.com/c/en_in/index.html,,,,
Cognizant Technology Solutions (re-add for robustness),https://www.cognizant.com/,https://careers.cognizant.com/,,,,pune,https://www.cognizant.com/,,,,
CrowdStrike (re-add for robustness),https://www.crowdstrike.com/,https://www.crowdstrike.com/careers/,,,,pune,https://www.crowdstrike.com/,,,,
Cybage Software Pvt Ltd. (re-add for robustness),https://www.cybage.com/,https://www.cybage.com/careers,,,,pune,https://www.cybage.com/,,,,
Deloitte (re-add for robustness),https://www2.deloitte.com/in/en.html,https://www2.deloitte.com/in/en/pages/careers/articles/life-at-deloitte.html,,,,pune,https://www2.deloitte.com/in/en.html,,,,
Eaton Technologies (re-add for robustness),https://www.eaton.com/in/en-us.html,https://www.eaton.com/us/en-us/company/careers.html,,,,pune,https://www.eaton.com/in/en-us.html,,,,
FIS Global (re-add for robustness),https://www.fisglobal.com/,https://careers.fisglobal.com/,,,,pune,https://www.fisglobal.com/,,,,
GE Digital (re-add for robustness),https://www.ge.com/digital/,https://jobs.gecareers.com/global/en/digital,,,,pune,https://www.ge.com/digital/,,,,
Genpact (re-add for robustness),https://www.genpact.com/,https://www.genpact.com/careers,,,,pune,https://www.genpact.com/,,,,
HCL Technologies (re-add for robustness),https://www.hcltech.com/,https://www.hcltech.com/careers,,,,pune,https://www.hcltech.com/,,,,
Hewlett Packard Enterprise (HPE) (re-add for robustness),https://www.hpe.com/in/en/home.html,https://careers.hpe.com/us/en/,,,,pune,https://www.hpe.com/in/en/home.html,,,,
Hitachi Vantara (re-add for robustness),https://www.hitachivantara.com/en-us/home.html,https://www.hitachivantara.com/en-us/company/careers.html,,,,pune,https://www.hitachivantara.com/en-us/home.html,,,,
Honeywell (re-add for robustness),https://www.honeywell.com/in/en,https://careers.honeywell.com/us/en,,,,pune,https://www.honeywell.com/in/en,,,,
IBM (re-add for robustness),https://www.ibm.com/in-en/,https://www.ibm.com/careers,,,,pune,https://www.ibm.com/in-en/,,,,
Infosys Limited (re-add for robustness),https://www.infosys.com/,https://www.infosys.com/careers/,,,,pune,https://www.infosys.com/,,,,
John Deere (India Technology Center) (re-add for robustness),https://www.deere.com/en/,"Search ""John Deere India careers""",,,,pune,https://www.deere.com/en/,,,,
KPIT Technologies (re-add for robustness),[suspicious link removed],,,,,pune,[suspicious link removed],,,,
LTIMindtree (re-add for robustness),https://www.ltimindtree.com/,https://www.ltimindtree.com/careers/,,,,pune,https://www.ltimindtree.com/,,,,
Microsoft India Private Limited (re-add for robustness),https://www.microsoft.com/en-in,https://careers.microsoft.com/v2/global/en/home.html,,,,pune,https://www.microsoft.com/en-in,,,,
Mindtickle (re-add for robustness),https://www.mindtickle.com/,https://www.mindtickle.com/company/careers/,,,,pune,https://www.mindtickle.com/,,,,
NielsenIQ (re-add for robustness),https://nielseniq.com/,https://careers.nielseniq.com/,,,,pune,https://nielseniq.com/,,,,
Nvidia Graphics (re-add for robustness),https://www.nvidia.com/en-in/,https://www.nvidia.com/en-in/careers/,,,,pune,https://www.nvidia.com/en-in/,,,,
Oracle (re-add for robustness),https://www.oracle.com/in/,https://www.oracle.com/careers/,,,,pune,https://www.oracle.com/in/,,,,
PubMatic (re-add for robustness),https://pubmatic.com/,https://pubmatic.com/careers/,,,,pune,https://pubmatic.com/,,,,
Qualcomm (re-add for robustness),https://www.qualcomm.com/,https://www.qualcomm.com/company/careers,,,,pune,https://www.qualcomm.com/,,,,
Quick Heal Technologies (re-add for robustness),https://www.quickheal.com/,https://www.quickheal.com/careers/,,,,pune,https://www.quickheal.com/,,,,
Rapid7 (re-add for robustness),https://www.rapid7.com/,https://www.rapid7.com/careers/,,,,pune,https://www.rapid7.com/,,,,
SailPoint (re-add for robustness),https://www.sailpoint.com/,https://www.sailpoint.com/careers/,,,,pune,https://www.sailpoint.com/,,,,
SAP Labs India (re-add for robustness),https://www.sap.com/india/index.html,https://www.sap.com/india/about/careers.html,,,,pune,https://www.sap.com/india/index.html,,,,
Siemens Information Systems Ltd (SISL) (re-add for robustness),https://new.siemens.com/in/en/company/about/siemens-india/siemens-technology-india.html,Look for careers on main Siemens India site,,,,pune,https://new.siemens.com/in/en/company/about/siemens-india/siemens-technology-india.html,,,,
Synechron (re-add for robustness),https://www.synechron.com/,https://www.synechron.com/careers,,,,pune,https://www.synechron.com/,,,,
Tata Consultancy Services (TCS) (re-add for robustness),https://www.tcs.com/,https://www.tcs.com/careers,,,,pune,https://www.tcs.com/,,,,
Tech Mahindra (re-add for robustness),https://www.techmahindra.com/,https://www.techmahindra.com/en-in/careers/,,,,pune,https://www.techmahindra.com/,,,,
Thoughtworks (re-add for robustness),https://www.thoughtworks.com/,https://www.thoughtworks.com/careers,,,,pune,https://www.thoughtworks.com/,,,,
Tietoevry India Pvt Ltd. (re-add for robustness),https://www.tietoevry.com/en/,https://careers.tietoevry.com/,,,,pune,https://www.tietoevry.com/en/,,,,
VMware (re-add for robustness),https://www.vmware.com/in.html,https://careers.vmware.com/,,,,pune,https://www.vmware.com/in.html,,,,
Wipro Technologies Ltd. (re-add for robustness),https://www.wipro.com/,https://careers.wipro.com/,,,,pune,https://www.wipro.com/,,,,
Xpressbees (re-add for robustness),https://www.xpressbees.com/,https://www.xpressbees.com/careers/,,,,pune,https://www.xpressbees.com/,,,,
Cyient Ltd. (re-add for robustness),https://www.cyient.com/,https://www.cyient.com/careers,,,,pune,https://www.cyient.com/,,,,
e-Zest Solutions (re-add for robustness),https://www.e-zest.com/,https://www.e-zest.com/careers,,,,pune,https://www.e-zest.com/,,,,
Nitor Infotech (re-add for robustness),https://nitorinfotech.com/,https://nitorinfotech.com/careers/,,,,pune,https://nitorinfotech.com/,,,,
